track_id,zone,error_type
118268856,matagalls,5
118273304,matagalls,3
118301862,matagalls,3
118308514,matagalls,3
118315584,matagalls,3
118319167,matagalls,5
118325407,matagalls,1
118326307,matagalls,1
118332127,matagalls,5
118337538,matagalls,5
118346573,matagalls,1
118346612,matagalls,1
118346669,matagalls,1
118351601,matagalls,5
118352446,matagalls,1
118354366,matagalls,1
118355577,matagalls,1
118358147,matagalls,5
118370827,matagalls,5
118376829,matagalls,1
118379370,matagalls,5
118380722,matagalls,1
118388745,matagalls,5
118407262,matagalls,5
118409196,matagalls,1
118412516,matagalls,5
118419869,matagalls,5
118419981,matagalls,3
118420431,matagalls,1
118423973,matagalls,1
118427143,matagalls,5
118434059,matagalls,5
118437585,matagalls,1
118438898,matagalls,5
118440137,matagalls,1
118441429,matagalls,1
118443673,matagalls,1
118445036,matagalls,1
118445922,matagalls,1
118446677,matagalls,5
118447636,matagalls,1
118448570,matagalls,1
118449185,matagalls,1
118450336,matagalls,5
118452972,matagalls,1
118457421,matagalls,5
118457495,matagalls,5
118457595,matagalls,3
118459480,matagalls,1
118459599,matagalls,1
118459661,matagalls,1
118459758,matagalls,1
118459860,matagalls,5
118460929,matagalls,1
118461670,matagalls,1
118464726,matagalls,1
118465986,matagalls,1
118466130,matagalls,1
118466211,matagalls,1
118467727,matagalls,1
118468747,matagalls,1
118468894,matagalls,1
118470598,matagalls,1
118472207,matagalls,1
118472458,matagalls,1
118472703,matagalls,1
118473455,matagalls,1
118477492,matagalls,1
118478693,matagalls,1
118479821,matagalls,1
118479881,matagalls,1
118480389,matagalls,1
118480851,matagalls,1
118480886,matagalls,1
118482498,matagalls,1
118483433,matagalls,1
118483655,matagalls,1
118485723,matagalls,1
118485823,matagalls,1
118488044,matagalls,1
118492478,matagalls,5
118499770,matagalls,1
118503746,matagalls,1
118515889,matagalls,1
118520401,matagalls,1
118521169,matagalls,1
118523455,matagalls,3
118525927,matagalls,1
118532281,matagalls,1
118554491,matagalls,1
118562547,matagalls,5
118574579,matagalls,5
118574737,matagalls,5
118577052,matagalls,1
118598546,matagalls,1
118640285,matagalls,3
118641263,matagalls,5
118694336,matagalls,1
118701840,matagalls,1
118710841,matagalls,5
118722739,matagalls,1
118734405,matagalls,5
118753378,matagalls,2
118758788,matagalls,1
118766548,matagalls,3
118784191,matagalls,5
118790191,matagalls,2
118813651,matagalls,5
118819363,matagalls,1
118863921,matagalls,5
118868505,matagalls,1
118902044,matagalls,3
118905740,matagalls,1
118915840,matagalls,5
118917673,matagalls,1
118919832,matagalls,2
118922852,matagalls,5
118923317,matagalls,5
118926156,matagalls,1
118926727,matagalls,5
118930101,matagalls,1
118934931,matagalls,1
118936706,matagalls,1
118939191,matagalls,5
118941746,matagalls,5
118942157,matagalls,3
118965161,matagalls,1
118970041,matagalls,5
118973616,matagalls,5
118976983,matagalls,5
118980063,matagalls,1
118983959,matagalls,1
118984001,matagalls,5
118985691,matagalls,3
118990053,matagalls,1
119025010,matagalls,5
119025239,matagalls,2
119030273,matagalls,3
119032459,matagalls,5
119040818,matagalls,4
119052147,matagalls,5
119057183,matagalls,1
119057962,matagalls,4
119059971,matagalls,1
119063599,matagalls,5
119067836,matagalls,1
119072498,matagalls,5
119076923,matagalls,2
119078104,matagalls,3
119081430,matagalls,1
119084016,matagalls,1
119090254,matagalls,3
119096451,matagalls,1
119108261,matagalls,1
119118337,matagalls,1
119129654,matagalls,1
119155643,matagalls,3
119172952,matagalls,1
119173508,matagalls,3
119179623,matagalls,1
119188195,matagalls,1
119189058,matagalls,1
119222890,matagalls,5
119225944,matagalls,1
119234691,matagalls,1
119258134,matagalls,1
119283408,matagalls,2
119290064,matagalls,5
119292121,matagalls,3
119296098,matagalls,3
119296662,matagalls,2
119300230,matagalls,5
119307343,matagalls,1
119313154,matagalls,5
119313334,matagalls,5
119315395,matagalls,1
119319993,matagalls,1
119338018,matagalls,1
119357710,matagalls,2
119393664,matagalls,1
119463984,matagalls,1
119477148,matagalls,3
119478273,matagalls,3
119481088,matagalls,5
119481789,matagalls,2
119487463,matagalls,5
119499890,matagalls,3
119500988,matagalls,1
119505063,matagalls,5
119506467,matagalls,1
119510020,matagalls,5
119510146,matagalls,3
119511463,matagalls,1
119514063,matagalls,5
119514163,matagalls,5
119533815,matagalls,1
119534804,matagalls,5
119549036,matagalls,1
119574298,matagalls,3
119579495,matagalls,5
119580398,matagalls,1
119584961,matagalls,5
119591328,matagalls,1
119603734,matagalls,5
119615000,matagalls,5
119619190,matagalls,2
119624632,matagalls,3
119625834,matagalls,3
